#,Name,Soloqueue,Draft Ranked Flex,Most played champions
,,,,
43.,"catharsis#5092

SG
(#43)","Master
                                        153 LP                                    
 
                                        Wins: 51 (58.6%)",,
44.,"frankenstein#888

SG
(#44)","Master
                                        152 LP                                    
 
                                        Wins: 80 (54.4%)",,
45.,"Jung Ji Hoon#0419

SG
(#45)","Master
                                        152 LP                                    
 
                                        Wins: 73 (55.3%)","Diamond IV
                                        40 LP                                    
 
                                        Wins: 44 (61.1%)",
46.,"Felia#1206

SG
(#46)","Master
                                        149 LP                                    
 
                                        Wins: 54 (59.3%)",,
47.,"Kusuo#1725

SG
(#47)","Master
                                        145 LP                                    
 
                                        Wins: 31 (63.3%)",,
48.,"Kayy#1321

SG
(#48)","Master
                                        138 LP                                    
 
                                        Wins: 76 (55.5%)",,
49.,"WNY KiWi#0129

SG
(#49)","Master
                                        137 LP                                    
 
                                        Wins: 69 (57.0%)","Diamond II
                                        55 LP                                    
 
                                        Wins: 3 (60.0%)",
50.,"PotatoTomatoKing#6244

SG
(#50)","Master
                                        128 LP                                    
 
                                        Wins: 78 (53.1%)",,
51.,"Nottieboy#1906

SG
(#51)","Master
                                        128 LP                                    
 
                                        Wins: 47 (57.3%)",,
52.,"Arykelic#Ary

SG
(#52)","Master
                                        128 LP                                    
 
                                        Wins: 18 (78.3%)",,
53.,"Bugatti Ben#417

SG
(#53)","Master
                                        127 LP                                    
 
                                        Wins: 45 (57.0%)",,
54.,"Kaii#0321

SG
(#54)","Master
                                        126 LP                                    
 
                                        Wins: 39 (65.0%)","Diamond I
                                        75 LP                                    
 
                                        Wins: 8 (88.9%)",
55.,"Dantiz#SG9

SG
(#55)","Master
                                        125 LP                                    
 
                                        Wins: 168 (50.8%)",,
56.,"최수빈#0512

SG
(#56)","Master
                                        123 LP                                    
 
                                        Wins: 64 (55.2%)",,
57.,"FudgeNugget#SG2

SG
(#57)","Master
                                        120 LP                                    
 
                                        Wins: 46 (56.1%)",,
58.,"大魔王阿文#SG2

SG
(#58)","Master
                                        120 LP                                    
 
                                        Wins: 35 (59.3%)","Diamond II
                                        79 LP                                    
 
                                        Wins: 5 (50.0%)",
59.,"sheep#yng

SG
(#59)","Master
                                        113 LP                                    
 
                                        Wins: 180 (50.8%)",,
60.,"zena#sg3

SG
(#60)","Master
                                        113 LP                                    
 
                                        Wins: 24 (72.7%)","Diamond I
                                        58 LP                                    
 
                                        Wins: 12 (54.5%)",
61.,"Doctor Doggo#SG2

SG
(#61)","Master
                                        112 LP                                    
 
                                        Wins: 24 (72.7%)",,
62.,"aery#Janna

SG
(#62)","Master
                                        110 LP                                    
 
                                        Wins: 56 (58.9%)",,
63.,"Feinous#WCMMG

SG
(#63)","Master
                                        106 LP                                    
 
                                        Wins: 79 (54.5%)",,
