player_name,rank_tier,lp,region_rank,match_history_ids
dogwifhat#5730,GrandMaster,266.0,11.0,"SG2_41301112,SG2_41188843,SG2_41186030,SG2_41181534,SG2_41143403,SG2_41131837,SG2_41113982,SG2_41111830,SG2_41111457,SG2_41090392,SG2_40845310,SG2_40632289,SG2_40629236,SG2_40628131,SG2_40570818,SG2_40430718,SG2_40428761,SG2_40428393,SG2_40416614,SG2_40344009,SG2_40337932,SG2_40319761,SG2_40308988,SG2_40304939,SG2_40302699,SG2_40302485,SG2_40299408,SG2_40301054,SG2_40238943,SG2_40201389,SG2_40203008,SG2_40199473,SG2_40103882,SG2_40088122,SG2_40083891,SG2_40083489,SG2_40085170,SG2_40066663,SG2_40066067,SG2_40059596"
polop#SG2,GrandMaster,258.0,12.0,"SG2_41368846,SG2_41363021,SG2_41340866,SG2_41338400,SG2_41332729,SG2_41315504,SG2_41312815,SG2_41310581,SG2_41130146,SG2_41073343,SG2_40869592,SG2_40867758,SG2_40866184,SG2_40862354,SG2_40858668,SG2_40854898,SG2_40852997,SG2_40851730,SG2_40851447,SG2_40850240,SG2_40848795,SG2_40822559,SG2_40818804,SG2_40814741,SG2_40730288,SG2_40726978,SG2_40688589,SG2_40638607,SG2_40524567,SG2_40524188,SG2_40520322,SG2_40507384,SG2_40503638,SG2_40489712,SG2_40487589,SG2_40486115,SG2_40447473,SG2_40401302,SG2_40351885,SG2_40211245"
FP Poppy#SG2,GrandMaster,257.0,13.0,"SG2_41407108,SG2_41401531,SG2_41398646,SG2_41390908,SG2_41388538,SG2_41336405,SG2_41321821,SG2_41321129,SG2_41317340,SG2_41316305,SG2_41309355,SG2_41305136,SG2_41301748,SG2_41301112,SG2_41300394,SG2_41296720,SG2_41272924,SG2_41271279,SG2_41267310,SG2_41261670,SG2_41259157,SG2_41253510,SG2_41252067,SG2_41244632,SG2_41239759,SG2_41237698,SG2_41235777,SG2_41089484,SG2_41043432,SG2_41041536,SG2_41041230,SG2_41039191,SG2_41035436,SG2_41030515,SG2_41027669,SG2_40990128,SG2_40986771,SG2_40985373,SG2_40981687,SG2_40979265"
NekoDesu#Troll,GrandMaster,255.0,14.0,"SG2_41416237,SG2_41410696,SG2_41407893,SG2_41406079,SG2_41401296,SG2_41397324,SG2_41390908,SG2_41381519,SG2_41377881,SG2_41377207,SG2_41375077,SG2_41373033,SG2_41370070,SG2_41367094,SG2_41344965,SG2_41343620,SG2_41340866,SG2_41340101,SG2_41336405,SG2_41333068,SG2_41326834,SG2_41318032,SG2_41316305,SG2_41313034,SG2_41305851,SG2_41303576,SG2_41304020,SG2_41298741,SG2_41299144,SG2_41295421,SG2_41292439,SG2_41273687,SG2_41272924,SG2_41271279,SG2_41267310,SG2_41261670,SG2_41090392,SG2_41089484,SG2_41086399,SG2_41081478"
웨이빈03#Moo,GrandMaster,248.0,15.0,"SG2_41209975,SG2_40979265,SG2_40974567,SG2_40969512,SG2_40966638,SG2_40965375,SG2_40962569,SG2_40960164,SG2_40958006,SG2_40953539,SG2_40953134,SG2_40948962,SG2_40945945,SG2_40946262,SG2_40943695,SG2_40913432,SG2_40905651,SG2_40906129,SG2_40903442,SG2_40902188,SG2_40898642,SG2_40891794,SG2_40890401,SG2_40890048,SG2_40886739,SG2_40867758,SG2_40866184,SG2_40863459,SG2_40861207,SG2_40858072,SG2_40854623,SG2_40852997,SG2_40850474,SG2_40849220,SG2_40845910,SG2_40845432,SG2_40822605,SG2_40821363,SG2_40818804,SG2_40819125"
Gubb#6366,GrandMaster,246.0,16.0,"SG2_41420829,SG2_41419565,SG2_41416061,SG2_41409374,SG2_41407108,SG2_41402600,SG2_41396993,SG2_41392941,SG2_41389985,SG2_41341891,SG2_41332091,SG2_41326334,SG2_41323295,SG2_41317496,SG2_41316216,SG2_41273687,SG2_41271732,SG2_41268525,SG2_41266150,SG2_41198884,SG2_41175446,SG2_41171935,SG2_41146161,SG2_41144487,SG2_41097468,SG2_41096559,SG2_41095168,SG2_41091810,SG2_41072531,SG2_41072217,SG2_41033096,SG2_40929720,SG2_40929234,SG2_40927677,SG2_40927020,SG2_40924119,SG2_40922143,SG2_40869592,SG2_40867758,SG2_40866184"
Inserial#SG2,GrandMaster,241.0,17.0,"SG2_41439424,SG2_41418313,SG2_41418146,SG2_41417244,SG2_41416102,SG2_41414038,SG2_41409794,SG2_41405882,SG2_41402180,SG2_41396993,SG2_41392941,SG2_41382011,SG2_41376939,SG2_41373837,SG2_41372082,SG2_41367264,SG2_41364511,SG2_41332729,SG2_41327447,SG2_41323264,SG2_41317496,SG2_41316216,SG2_41124157,SG2_41117819,SG2_41032129,SG2_41025820,SG2_41023384,SG2_41019776,SG2_41017520,SG2_41017210,SG2_41014038,SG2_41012417,SG2_41006973,SG2_41006528,SG2_40975053,SG2_40971272,SG2_40960423,SG2_40927020,SG2_40923438,SG2_40911412"
他在家里显得很弱势总是窝里受气#123,GrandMaster,235.0,18.0,"SG2_41256794,SG2_41253510,SG2_41252067,SG2_41246585,SG2_41239759,SG2_41237698,SG2_41236897,SG2_41233418,SG2_41215937,SG2_41213614,SG2_41209975,SG2_41211085,SG2_41208231,SG2_41203380,SG2_41199230,SG2_41192916,SG2_41187621,SG2_41186030,SG2_41181534,SG2_41177591,SG2_41175915,SG2_41171935,SG2_41169389,SG2_41168221,SG2_41162854,SG2_41150888,SG2_41151454,SG2_41146955,SG2_41145455,SG2_41144487,SG2_41071041,SG2_41064558,SG2_41062443,SG2_41033862,SG2_41030515,SG2_41026170,SG2_41025106,SG2_40973184,SG2_40970059,SG2_40966258"
watermelon123#aaa,GrandMaster,235.0,19.0,"SG2_41441121,SG2_41437313,SG2_41434732,SG2_41430127,SG2_41409374,SG2_41407108,SG2_41391253,SG2_41384945,SG2_41383517,SG2_41381541,SG2_41377881,SG2_41377207,SG2_41375077,SG2_41359389,SG2_41359013,SG2_41308033,SG2_41302752,SG2_41300891,SG2_41296720,SG2_41295088,SG2_41292378,SG2_41288465,SG2_41272924,SG2_41259751,SG2_41239588,SG2_41237488,SG2_41236498,SG2_41152111,SG2_41148784,SG2_41148304,SG2_41117030,SG2_41116643,SG2_41114359,SG2_41109959,SG2_41095168,SG2_41091810,SG2_41075897,SG2_41076229,SG2_41072531,SG2_41069443"
AMG#SG2,GrandMaster,232.0,20.0,"SG2_41361161,SG2_41336743,SG2_41332889,SG2_41332150,SG2_41171873,SG2_41169389,SG2_41166732,SG2_41144487,SG2_41140638,SG2_41135298,SG2_41090392,SG2_41041536,SG2_41041230,SG2_40871162,SG2_40866631,SG2_40858072,SG2_40806504,SG2_40800013,SG2_40794497,SG2_40790938,SG2_40787901,SG2_40732416,SG2_40709261,SG2_40705794,SG2_40700848,SG2_40699566,SG2_40676747,SG2_40674321,SG2_40668936,SG2_40668662,SG2_40665990,SG2_40664706,SG2_40647558,SG2_40639117,SG2_40628131,SG2_40625316,SG2_40532900,SG2_40532351,SG2_40528808,SG2_40526995"
